Vehicle Type,Fuel Type,Engine Size,Age of Vehicle,Mileage,Speed,Acceleration,Road Type,TrafficCondition,Temperature,Humidity,Wind Speed,Air Pressure,CO2Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level
Motorcycle,Electric,2.747608618,22,291288,49.08325451,1.88773844,Highway,Moderate,13.88045841,52.88390515,18.93886108,955.411642,179.930088,1.085519804,0.01154796151,0.09620679388,0.0229357569,Medium
Bus,Electric,5.743714393,3,188398,23.46031082,3.544147219,City,Heavy,19.13694657,5.69734269,14.71652591,1035.763062,250.5052193,1.285628406,0.1871120962,0.0733213084,0.02802137996,Medium
Bus,Hybrid,4.606368497,17,281451,115.5083505,4.646885549,Highway,Free flow,8.123428468,3.953116011,18.64452227,976.2070644,404.9791033,0.2581885667,0.1323981491,0.01474354334,0.07533362166,High
Truck,Electric,3.913024118,4,151321,18.54021738,3.581003893,Rural,Heavy,35.99489346,0.5096780815,11.9518592,966.9194623,463.568608,1.040955765,0.1663252264,0.09349032683,0.02532393446,High
Truck,Hybrid,1.61129693,15,91810,109.5965658,3.879302877,Highway,Moderate,14.79348065,52.45088434,2.761138226,953.2293507,79.51460364,1.583390451,0.07804307876,0.02039550277,0.02498636506,Low
Car,Petrol,1.611171506,13,72131,51.41677178,3.753896211,City,Moderate,11.18625201,46.3815604,13.50854213,1033.40731,287.8334381,1.733975124,0.05636087031,0.09316532991,0.06906242682,Medium
Car,Petrol,1.102034783,26,169449,45.34391899,1.60489303,City,Free flow,-7.591601582,94.04601936,4.029823213,956.0115291,337.869581,1.470222358,0.04289913817,0.05066028595,0.05819341292,High
Car,Hybrid,5.304115958,26,296695,27.75837611,3.784652166,Highway,Moderate,19.95075411,34.23063159,6.919371833,1045.443042,57.86424252,0.8952892159,0.1109288364,0.05371091861,0.07811218542,Low
Car,Electric,3.925798061,18,90214,76.29076012,3.922603801,City,Moderate,20.1434468,65.82273955,10.19235868,1006.484202,131.5617088,0.5892048771,0.06064845317,0.058605228,0.03869696328,Low
Bus,Electric,4.481977405,13,38599,82.2633618,2.667001603,Highway,Heavy,19.1644815,0.7563414641,3.147319641,1019.868318,78.1527115,0.8393876311,0.1772214982,0.01843677623,0.06476097288,Low
Motorcycle,Electric,0.9070393703,8,229417,56.10851547,2.683781193,Rural,Moderate,34.37984588,66.35384458,0.415627657,1022.531042,180.6661535,1.167038555,0.01568835116,0.06983747905,0.09070231574,Medium
Truck,Petrol,5.843531231,5,109490,6.684827483,3.798604015,Rural,Heavy,28.14504163,91.3460024,6.541718797,979.2684489,142.4322336,0.1110211819,0.02606539075,0.0688746121,0.09131155099,Low
Truck,Petrol,5.128701732,16,22593,110.2212181,4.085154311,City,Free flow,33.37028098,35.47679567,16.48631538,1030.645835,269.0601363,1.832814134,0.05100402869,0.06199848183,0.0687815039,Medium
Motorcycle,Hybrid,1.904163376,18,225472,117.6394959,1.68597721,Highway,Free flow,-7.028872155,31.40571018,0.3075992242,1044.624068,344.9036713,0.7530640165,0.02564466849,0.08990047099,0.01209982544,High
Truck,Diesel,1.745489829,11,109865,51.72520983,4.007811088,Rural,Heavy,5.906321613,62.60298649,2.188678664,986.985111,428.9978962,1.613933526,0.1673216744,0.05305887856,0.05756005016,High
Truck,Petrol,1.753703451,3,173708,73.63929689,4.071045033,Highway,Heavy,5.935597185,32.85520655,16.13709713,1033.534939,186.9390717,1.115503369,0.01076834168,0.07394851387,0.01612923282,Medium
Motorcycle,Petrol,2.382059663,15,187031,54.03583515,1.170628205,Rural,Moderate,22.85225289,40.24183755,6.117034059,1027.203982,72.6828915,1.358158679,0.1338145356,0.04053563843,0.0990784947,Low
