Engine Size,Age of Vehicle,Speed,Acceleration,CO2Emissions
2.747608618,22,49.08325451,1.88773844,179.930088
5.743714393,3,23.46031082,3.544147219,250.5052193
4.606368497,17,115.5083505,4.646885549,404.9791033
3.913024118,4,18.54021738,3.581003893,463.568608
1.61129693,15,109.5965658,3.879302877,79.51460364
1.611171506,13,51.41677178,3.753896211,287.8334381
1.102034783,26,45.34391899,1.60489303,337.869581
5.304115958,26,27.75837611,3.784652166,57.86424252
3.925798061,18,76.29076012,3.922603801,131.5617088
4.481977405,13,82.2633618,2.667001603,78.1527115
0.9070393703,8,56.10851547,2.683781193,180.6661535
5.843531231,5,6.684827483,3.798604015,142.4322336
5.128701732,16,110.2212181,4.085154311,269.0601363
1.904163376,18,117.6394959,1.68597721,344.9036713
1.745489829,11,51.72520983,4.007811088,428.9978962
1.753703451,3,73.63929689,4.071045033,186.9390717
2.382059663,15,54.03583515,1.170628205,72.6828915
3.528733444,24,38.62555811,3.584753727,51.73167604
3.046114097,10,9.278255143,0.9326696092,430.0482535
2.314391529,21,54.72812765,0.4652455649,445.1609816
3.981635053,3,98.20614676,2.87271506,95.44669711
1.525368075,16,2.043775331,4.543260994,54.57916373
2.319152172,7,69.85292198,0.1772951176,410.1194712
2.705081585,13,105.692653,4.132508188,338.327624
3.171563918,26,26.1059316,2.532356054,300.2650184
4.882914999,1,21.99070376,4.304477244,289.9413387
1.838303667,10,92.67319508,4.217384676,398.1919855
3.47401908,10,30.61037173,4.376434024,181.9914774
3.880555758,23,23.03811211,3.844369774,225.1015925
1.041542146,21,45.35871007,4.214961773,85.03300715
3.95923323,23,47.10024147,0.880126036,304.7583601
1.686725443,5,104.8921276,1.519265744,482.3651846
1.138268284,20,74.21321663,1.212430854,177.7325962
5.734204794,20,48.71537476,3.712141519,468.1623814
5.821286572,13,64.12655571,0.7682155968,378.1433301
5.00366621,29,114.475828,0.9111389519,155.2457853
2.3839916,9,13.58576119,4.394823604,348.2844603
1.307894993,25,24.92586261,3.529410965,214.8052915
4.358011738,26,115.5034448,4.37689989,105.0359094
3.088792967,7,114.8789818,0.6967762913,91.7247685
1.434598821,6,21.25985055,1.994902023,57.75237879
3.374919933,7,17.41305806,1.41575585,409.0138182
0.9788203098,27,50.53021612,0.0484054264,448.182392
5.528466091,7,5.966195099,1.422614802,267.1422421
2.145655904,22,78.58842387,1.89791626,283.9665905
4.245115879,1,9.299522599,0.4610981862,361.2138081
2.420897596,26,6.963555251,2.832437789,365.4087677
3.50435371,15,58.22243235,1.915863312,195.857489
3.642893453,8,114.9343963,0.2323083114,121.6318369
1.761243169,12,51.21551233,3.519894324,243.687745
5.841840064,22,42.77773904,3.646399169,363.656095
4.830690681,11,119.7548059,4.172357215,411.8936886
5.685394496,26,63.83627529,2.427702999,90.12304833
