Contaminated,Methane,NOxEmissions,PM2.5Emissions,VOCEmissions,SO2Emissions,CO2Emissions
0,355,433,917,1472,947,2245
1,749,832,1438,1740,1492,1866
1,556,635,1166,1599,1282,2144
1,479,594,1192,1534,1243,2012
0,373,435,867,1416,912,2286
1,624,682,1105,1661,1644,2518
0,372,471,991,1501,841,2265
1,546,662,1221,1660,1194,2138
1,618,632,1161,1631,1318,2307
1,848,960,1332,1800,1731,2510
1,874,996,1364,1808,1759,2483
0,433,549,962,1509,1110,2344
1,862,841,1482,1686,1688,1873
1,537,541,1031,1576,1221,2364
1,713,799,1298,1703,1613,2256
1,982,992,1560,1801,1773,1948
1,671,710,1362,1606,1445,2087
0,410,475,900,1482,1018,2295
1,588,681,1118,1606,1524,2339
0,270,376,765,1352,802,2292
1,560,665,1243,1650,1196,2126
1,554,562,1083,1582,1249,2412
0,571,638,1165,1574,1238,2440
0,263,437,820,1384,883,2258
1,1105,1014,1698,1811,1718,2030
1,740,768,1192,1720,1567,2454
1,802,805,1295,1757,1618,2419
1,488,592,1153,1587,1107,2187
0,434,436,923,1485,1002,2270
0,321,414,814,1392,1010,2158
1,665,853,1416,1738,1552,1921
1,526,592,1075,1596,1269,2480
1,526,562,1073,1594,1455,2426
1,743,746,1196,1708,1614,2451
1,799,796,1383,1721,1500,2217
1,476,593,1108,1559,1225,2138
1,969,1176,1428,1874,1753,2476
0,394,497,1004,1469,924,2238
1,556,607,1071,1592,1325,2500
1,644,694,1352,1579,1442,2107
1,621,656,1219,1631,1338,2326
1,858,942,1328,1805,1659,2483
1,676,798,1356,1672,1528,1877
1,753,684,1277,1658,1621,2297
0,380,470,860,1462,1019,2286
0,399,470,906,1464,1045,2541
1,876,931,1347,1807,1667,2500
0,379,494,987,1513,997,2210
0,502,521,941,1516,1135,2623
1,660,623,1145,1660,1536,2491
0,375,447,992,1491,900,2274
0,543,645,1155,1588,1255,2395
1,744,729,1405,1604,1544,2136
1,630,663,1295,1624,1377,2113
0,383,454,922,1495,952,2287
1,878,907,1508,1748,1722,2035
0,302,400,824,1341,810,2354
1,564,646,1231,1717,1523,2476
0,322,463,899,1449,967,2177
1,1061,1367,1552,1917,1829,2398
1,612,668,1183,1677,1392,2350
1,622,672,1134,1658,1571,2445
1,780,699,1301,1666,1587,2366
0,409,473,890,1446,971,2100
1,1127,1020,1712,1766,1696,2131
1,550,571,1123,1572,1245,2402
1,640,696,1350,1606,1459,1998
1,785,930,1423,1830,1558,2274
1,535,651,1274,1631,1210,2086
1,753,790,1439,1656,1566,2038
1,820,880,1283,1781,1736,2490
1,835,875,1309,1776,1667,2490
1,508,564,1200,1674,1087,2086
1,976,1019,1577,1796,1754,1865
1,523,629,1218,1640,1122,2151
1,621,671,1173,1691,1445,2267
1,800,823,1396,1697,1569,2185
1,478,629,1214,1619,1203,2150
1,777,810,1264,1749,1563,2451
1,696,713,1364,1656,1493,2198
0,441,452,892,1472,1213,2234
1,631,596,1262,1627,1362,2279
0,318,443,822,1390,856,2309
1,558,553,1198,1675,1078,2123
0,384,493,996,1516,891,2249
1,668,749,1186,1706,1407,2275
1,529,593,1079,1606,1222,2513
0,508,545,979,1532,1156,2233
1,563,632,1140,1627,1337,2289
1,582,652,1115,1632,1429,2327
1,714,768,1230,1760,1628,2433
1,490,591,1194,1592,1085,2164
0,394,483,967,1496,929,2248
0,386,509,991,1499,896,2274
1,777,814,1222,1734,1652,2495
1,581,611,1198,1610,1286,2433
0,370,466,994,1484,912,2262
1,847,925,1334,1793,1746,2504
1,534,546,1048,1566,1177,2482
1,916,938,1543,1759,1739,2018
0,323,433,793,1397,845,2336
1,918,879,1535,1772,1722,2010
0,513,558,1076,1566,1166,2224
1,894,1016,1369,1830,1774,2482
0,368,435,863,1437,866,2534
0,368,489,903,1476,1348,2113
0,474,492,926,1504,1119,2305
1,493,586,1109,1560,1260,2414
1,528,626,1233,1567,1299,2024
0,457,500,994,1507,1120,2247
1,764,917,1383,1724,1610,1931
1,565,595,1257,1661,1101,2145
1,528,563,1196,1615,1146,2181
1,555,623,1163,1613,1293,2124
1,638,686,1166,1683,1492,2513
0,491,559,1079,1551,1174,2287
0,314,435,833,1380,825,2363
1,502,597,1165,1606,1115,2145
1,867,920,1353,1807,1643,2507
1,665,806,1370,1722,1524,1854
1,772,883,1472,1733,1578,1850
1,558,629,1079,1608,1383,2300
0,431,523,1016,1534,1005,2183
1,746,736,1343,1700,1510,2049
1,513,581,1082,1594,1258,2562
1,573,636,1228,1611,1247,2285
1,773,831,1258,1713,1673,2472
1,650,726,1188,1692,1398,2237
1,577,659,1278,1651,1211,2114
1,684,702,1334,1621,1518,1934
0,463,512,1027,1500,1067,2292
1,591,576,1176,1592,1285,2432
1,564,665,1248,1650,1191,2144
1,779,904,1499,1773,1596,1820
1,477,608,1167,1526,1217,2052
1,733,785,1428,1650,1517,2064
1,975,1091,1607,1766,1769,1857
1,546,668,1304,1635,1324,2096
1,730,734,1388,1654,1527,2211
1,735,877,1440,1756,1526,1887
1,524,595,1113,1581,1224,2362
1,559,561,1026,1557,1208,2455
0,517,513,924,1526,1075,2485
1,533,555,1080,1561,1472,2451
0,421,529,1078,1538,958,2221
1,453,579,1067,1576,1098,2057
1,856,831,1459,1749,1640,2013
1,660,730,1371,1576,1484,2034
1,499,614,1195,1627,1116,2098
0,375,470,994,1487,843,2296
1,485,593,1131,1581,1205,2192
1,559,603,1155,1564,1266,2355
0,367,464,983,1457,860,2292
0,380,410,860,1416,936,2215
1,628,715,1347,1581,1488,2106
1,721,853,1336,1769,1624,2250
0,439,467,906,1481,1132,2213
1,566,585,1109,1587,1278,2364
1,594,644,1142,1624,1433,2333
1,494,606,1091,1583,1227,2011
1,914,872,1555,1740,1610,1946
0,384,504,894,1496,989,2305
1,1254,1150,1698,1873,1948,1826
1,741,786,1237,1738,1642,2470
0,502,546,977,1526,1160,2695
0,357,475,913,1425,925,2256
1,575,640,1188,1619,1330,2317
0,406,515,1042,1498,936,2301
0,325,430,818,1402,846,2315
1,518,606,1126,1582,1233,2395
1,822,948,1327,1794,1704,2460
1,732,760,1271,1700,1591,2475
0,417,475,953,1485,1009,2326
1,872,1017,1416,1853,1616,2270
1,1209,1069,1707,1801,1865,1914
0,432,583,948,1548,1107,2311
0,368,477,933,1453,953,2265
0,364,429,858,1417,870,2526
1,541,621,1231,1636,1149,2146
1,611,606,1200,1619,1324,2370
1,554,565,1083,1582,1249,2412
0,313,440,836,1383,859,2308
0,459,533,1010,1519,1092,2501
1,580,676,1291,1615,1298,2022
0,397,521,894,1450,1429,1932
0,408,500,1039,1532,880,2312
1,517,569,1098,1586,1283,2478
0,369,440,834,1427,937,2205
0,428,471,931,1457,985,2141
0,373,453,866,1466,1019,2267
1,418,543,1009,1513,1053,2175
0,312,425,844,1405,866,2309
0,511,554,1076,1565,1173,2230
1,504,600,1167,1619,1097,2142
1,712,842,1428,1739,1535,1902
1,792,780,1434,1653,1582,2088
0,369,465,895,1478,941,2206
1,870,971,1309,1814,1670,2475
1,808,908,1266,1774,1689,2453
1,808,884,1341,1788,1639,2445
1,542,645,1233,1641,1204,2059
1,897,897,1475,1764,1729,1996
1,702,775,1332,1781,1565,2253
0,428,527,966,1495,1137,2477
1,824,883,1318,1758,1651,2493
0,366,427,857,1420,895,2492
1,509,651,1272,1643,1189,2160
0,313,421,842,1380,822,2327
1,589,678,1215,1604,1340,2205
1,497,614,1087,1588,1204,2175
