Contaminated,Methane,NOxEmissions,PM2.5Emissions,VOCEmissions,SO2Emissions,CO2Emissions
1,848,960,1367,1784,1745,2445
1,1063,968,1627,1736,1785,1888
1,771,765,1391,1692,1523,2106
1,536,624,1224,1594,1171,2158
1,782,789,1333,1732,1529,2213
0,492,537,1044,1499,1137,2351
1,736,868,1431,1748,1530,1885
0,422,520,1004,1511,1051,2367
0,361,482,892,1467,927,2257
1,513,612,1221,1597,1258,2065
1,552,641,1248,1643,1172,2165
1,631,719,1365,1586,1517,2097
0,330,478,873,1478,1016,2261
1,588,666,1201,1633,1335,2108
1,499,602,1106,1586,1233,2050
1,816,927,1492,1777,1622,1862
1,539,600,1094,1597,1295,2491
1,1116,1022,1597,1819,1876,1929
1,508,603,1182,1611,1162,2112
1,611,629,1273,1641,1338,2302
1,870,912,1523,1758,1685,1946
1,853,957,1279,1797,1767,2457
1,577,594,1191,1613,1256,2324
0,432,482,1014,1607,1078,2280
1,504,562,1005,1558,1171,2501
1,823,762,1366,1701,1583,2180
0,378,459,884,1474,935,2251
1,595,652,1110,1678,1406,2310
0,456,437,916,1480,1104,2264
1,710,802,1300,1729,1579,2272
0,360,441,848,1401,890,2517
1,601,654,1265,1615,1348,2090
1,1091,1030,1693,1765,1748,1951
0,379,449,909,1487,1000,2300
1,543,599,1117,1541,1230,2368
1,708,732,1312,1690,1452,2263
1,758,631,1275,1667,1444,2320
1,1204,1105,1670,1805,1918,1917
1,650,674,1142,1673,1674,2532
1,501,562,1072,1581,1517,2454
1,606,672,1163,1654,1441,2336
1,709,703,1184,1684,1537,2462
1,836,671,1336,1676,1592,2430
1,531,615,1177,1592,1219,2195
1,650,708,1347,1638,1507,2069
0,309,451,795,1392,906,2230
1,482,599,1137,1588,1206,2327
1,843,912,1317,1788,1617,2434
1,828,856,1307,1776,1655,2490
1,735,880,1439,1738,1580,1814
0,459,540,1077,1609,978,2337
1,547,576,1175,1591,1245,2314
1,834,768,1495,1707,1583,1959
1,583,644,1261,1626,1370,2284
1,1064,1021,1679,1789,1731,1955
1,776,752,1376,1683,1558,2142
1,788,814,1454,1740,1633,2032
0,284,428,822,1397,856,2268
0,306,432,815,1408,886,2201
1,860,793,1359,1717,1634,2164
0,361,476,884,1472,938,2236
1,871,1018,1339,1824,1745,2439
0,362,501,941,1473,1082,2311
1,767,804,1253,1731,1412,2421
1,471,605,1158,1527,1209,2071
1,696,789,1325,1715,1496,1869
1,821,897,1341,1761,1701,2464
0,457,715,927,1611,1241,2292
1,581,704,1117,1654,1555,2332
0,380,439,874,1424,941,2169
0,365,476,922,1477,942,2251
0,458,498,1057,1621,995,2317
0,386,486,1012,1518,924,2234
1,544,551,1159,1587,1246,2347
1,587,695,1231,1659,1229,2142
0,399,469,1037,1527,926,2307
1,594,673,1214,1641,1304,2127
0,588,693,1176,1580,1387,2379
1,666,614,1231,1642,1391,2380
0,408,521,970,1469,1093,2296
1,582,615,1191,1604,1324,2405
1,630,671,1236,1639,1404,2356
1,500,574,1118,1556,1144,2141
1,521,612,1213,1617,1130,2190
1,706,747,1309,1736,1606,2277
1,710,705,1206,1689,1705,2388
0,377,467,873,1480,1159,2201
1,852,932,1333,1799,1637,2429
1,458,569,999,1527,1183,2138
0,364,471,883,1468,944,2234
1,588,601,1140,1657,1438,2307
0,520,548,967,1526,1141,2485
0,419,527,980,1468,1020,2336
0,387,497,947,1441,1065,2308
0,381,466,965,1501,1166,1942
1,488,615,1118,1609,1115,2088
1,731,887,1453,1742,1594,1860
1,615,667,1171,1672,1388,2324
0,509,496,992,1524,1129,2509
1,606,674,1160,1662,1439,2306
0,373,479,894,1487,908,2313
1,942,1120,1484,1859,1770,2418
1,560,680,1316,1656,1322,2025
1,710,737,1395,1656,1491,1912
1,778,769,1386,1701,1562,2146
0,369,475,984,1459,876,2298
1,596,685,1206,1663,1379,2279
0,301,429,826,1399,819,2291
1,788,891,1304,1761,1690,2464
0,485,546,1013,1536,1203,2555
1,555,597,1160,1593,1288,2411
1,596,667,1213,1604,1337,2132
1,526,598,1160,1581,1289,2301
1,840,940,1315,1808,1711,2491
0,458,526,958,1515,1083,2272
0,357,488,902,1448,947,2231
1,913,747,1420,1707,1742,2290
0,466,523,948,1528,1147,2265
1,878,823,1397,1709,1662,2134
1,577,613,1139,1618,1264,2323
0,380,426,948,1501,915,2353
0,438,665,910,1572,1202,2291
1,586,676,1106,1648,1538,2275
1,895,1009,1422,1822,1755,2442
1,669,658,1223,1633,1435,2250
1,1065,970,1657,1741,1726,2121
1,555,632,1265,1593,1262,2022
0,310,455,810,1396,1051,2113
0,408,468,894,1450,999,2227
0,384,491,903,1490,963,2310
0,365,488,983,1497,908,2207
1,1003,1046,1606,1813,1753,1889
1,559,638,1275,1601,1264,2052
1,554,657,1213,1626,1282,2062
1,595,655,1157,1680,1420,2298
0,447,442,916,1488,1110,2249
0,422,570,904,1519,1109,2342
0,366,491,904,1488,972,2280
1,822,739,1314,1670,1625,2405
1,557,618,1228,1628,1193,2182
1,737,746,1405,1642,1616,1949
1,507,577,1183,1610,1128,2209
1,550,614,1103,1612,1281,2345
1,640,726,1329,1694,1420,1953
1,480,627,1128,1546,1132,2113
